"filename", "language", "Markdown", "HTML", "Java", "CSS", "JavaScript", "XML", "Log", "comment", "blank", "total"
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\rewards\pisci_r_a.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\rewards\tanque_m.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\rewards\tanque_r.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\almacen\Almacen.java", "Java", 0, 0, 38, 0, 0, 0, 0, 50, 14, 102
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\almacen\AlmacenCentral.java", "Java", 0, 0, 79, 0, 0, 0, 0, 60, 20, 159
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\commons\ApoyoMenu.java", "Java", 0, 0, 1117, 0, 0, 0, 0, 177, 36, 1330
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\commons\DataJson.java", "Java", 0, 0, 119, 0, 0, 0, 0, 60, 20, 199
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\commons\Monedas.java", "Java", 0, 0, 33, 0, 0, 0, 0, 34, 9, 76
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\commons\Registros.java", "Java", 0, 0, 64, 0, 0, 0, 0, 40, 10, 114
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\commons\Rewards.java", "Java", 0, 0, 354, 0, 0, 0, 0, 61, 15, 430
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\commons\Simulador.java", "Java", 0, 0, 317, 0, 0, 0, 0, 78, 18, 413
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\helper\InputHelper.java", "Java", 0, 0, 85, 0, 0, 0, 0, 66, 13, 164
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\Alimentación\Activo.java", "Java", 0, 0, 25, 0, 0, 0, 0, 18, 5, 48
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\Alimentación\Carnivoro.java", "Java", 0, 0, 42, 0, 0, 0, 0, 33, 8, 83
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\Alimentación\CarnivoroActivo.java", "Java", 0, 0, 33, 0, 0, 0, 0, 21, 7, 61
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\Alimentación\CarnivoroComedido.java", "Java", 0, 0, 30, 0, 0, 0, 0, 21, 6, 57
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\Alimentación\CarnivoroLongevo.java", "Java", 0, 0, 7, 0, 0, 0, 0, 0, 5, 12
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\Alimentación\CarnivoroLongevoVoraz.java", "Java", 0, 0, 7, 0, 0, 0, 0, 0, 5, 12
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\Alimentación\CarnivoroVoraz.java", "Java", 0, 0, 25, 0, 0, 0, 0, 22, 6, 53
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\Alimentación\CarnivoroVorazComedido.java", "Java", 0, 0, 30, 0, 0, 0, 0, 22, 6, 58
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\Alimentación\Comedido.java", "Java", 0, 0, 22, 0, 0, 0, 0, 18, 4, 44
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\Alimentación\Filtrador.java", "Java", 0, 0, 22, 0, 0, 0, 0, 18, 4, 44
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\Alimentación\Longevo.java", "Java", 0, 0, 16, 0, 0, 0, 0, 7, 6, 29
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\Alimentación\Omnivoro.java", "Java", 0, 0, 46, 0, 0, 0, 0, 34, 8, 88
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\Alimentación\OmnivoroComedido.java", "Java", 0, 0, 34, 0, 0, 0, 0, 22, 5, 61
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\Alimentación\OmnivoroLongevo.java", "Java", 0, 0, 7, 0, 0, 0, 0, 0, 5, 12
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\src\pez\Alimentación\OmnivoroVoraz.java", "Java", 0, 0, 29, 0, 0, 0, 0, 22, 4, 55
